candidate,office,district,party,county,precinct,votes
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 8,
Casey Mayer,State Senate,13,,Monongalia,Precinct 8,160
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 8,405
Bob Williams,State Senate,14,,Monongalia,Precinct 8,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 8,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 8,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 8,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 8,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 8,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 8,224
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 8,191
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 8,212
John P. Woods,House of Delegates,51,,Monongalia,Precinct 8,154
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 8,184
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 8,244
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 8,272
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 8,381
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 8,370
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 8,309
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 8,32
,Registered Voters,,,Monongalia,Precinct 10,1622
,Ballots Cast,,,Monongalia,Precinct 10,291
,Straight Party,,REP,Monongalia,Precinct 10,43
,Straight Party,,DEM,Monongalia,Precinct 10,58
,Straight Party,,MTN,Monongalia,Precinct 10,0
,Straight Party,,LIBER,Monongalia,Precinct 10,1
Mitt Romney ,President ,,,Monongalia,Precinct 10,103
Barack Obama,President ,,,Monongalia,Precinct 10,172
Jill Stein,President ,,,Monongalia,Precinct 10,2
Gary Johnson,President ,,,Monongalia,Precinct 10,12
Randall Terry,President ,,,Monongalia,Precinct 10,1
John R. Raese,U.S. Senate,,,Monongalia,Precinct 10,87
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 10,170
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 10,22
David B McKinley ,U.S. House,1,,Monongalia,Precinct 10,101
Sue Thorn,U.S. House,1,,Monongalia,Precinct 10,161
Bill Maloney,Governor,,,Monongalia,Precinct 10,90
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 10,156
Jesse Johnson,Governor,,,Monongalia,Precinct 10,18
David Moran ,Governor,,,Monongalia,Precinct 10,12
Brian Savilla,Secretary of State,,,Monongalia,Precinct 10,76
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 10,184
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 10,76
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 10,172
Mike Hall,Treasurer,,,Monongalia,Precinct 10,81
John D. Perdue,Treasurer,,,Monongalia,Precinct 10,172
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 10,87
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 10,146
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 10,97
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 10,157
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 10,
Casey Mayer,State Senate,13,,Monongalia,Precinct 10,90
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 10,164
Bob Williams,State Senate,14,,Monongalia,Precinct 10,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 10,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 10,
