year,election,party,office,district,candidate,county,votes,winner
2006,general,R,House of Delegates,43,Rick Starn,Monongalia,360,
2006,general,D,House of Delegates,44,Robert Beach,Totals,10291,1
2006,general,D,House of Delegates,44,Robert Beach,Monongalia,10291,
2006,general,D,House of Delegates,44,Barbara Evans Fleischauer,Totals,10710,1
2006,general,D,House of Delegates,44,Barbara Evans Fleischauer,Monongalia,10710,
2006,general,D,House of Delegates,44,Charlene Marshall,Totals,10228,1
2006,general,D,House of Delegates,44,Charlene Marshall,Monongalia,10228,
2006,general,D,House of Delegates,44,Alex Shook,Totals,11224,1
2006,general,D,House of Delegates,44,Alex Shook,Monongalia,11224,
2006,general,R,House of Delegates,44,Cindy Frich,Totals,8965,
2006,general,R,House of Delegates,44,Cindy Frich,Monongalia,8965,
2006,general,R,House of Delegates,44,George D. Johnson,Totals,4473,
2006,general,R,House of Delegates,44,George D. Johnson,Monongalia,4473,
2006,general,R,House of Delegates,44,Brian Louk,Totals,5307,
2006,general,R,House of Delegates,44,Brian Louk,Monongalia,5307,
2006,general,R,House of Delegates,44,Jim Manilla,Totals,7120,
2006,general,R,House of Delegates,44,Jim Manilla,Monongalia,7120,
2006,general,D,House of Delegates,45,Larry A. Williams,Totals,4159,1
2006,general,D,House of Delegates,45,Larry A. Williams,Preston,4159,
2006,general,D,House of Delegates,46,Stan Shaver,Totals,3110,1
2006,general,D,House of Delegates,46,Stan Shaver,Preston,1802,
2006,general,D,House of Delegates,46,Stan Shaver,Tucker,1308,
2006,general,R,House of Delegates,46,"Deborah ""Debbie"" Stevens",Totals,2687,
2006,general,R,House of Delegates,46,"Deborah ""Debbie"" Stevens",Preston,1409,
2006,general,R,House of Delegates,46,"Deborah ""Debbie"" Stevens",Tucker,1278,
2006,general,D,House of Delegates,47,Harold Michael,Totals,4145,1
2006,general,D,House of Delegates,47,Harold Michael,Hardy,2685,
2006,general,D,House of Delegates,47,Harold Michael,Pendleton,1460,
2006,general,D,House of Delegates,48,Hank Kopple,Totals,1605,
2006,general,D,House of Delegates,48,Hank Kopple,Grant,959,
2006,general,D,House of Delegates,48,Hank Kopple,Mineral,482,
2006,general,D,House of Delegates,48,Hank Kopple,Pendleton,164,
2006,general,R,House of Delegates,48,Allen V. Evans,Totals,3227,1
2006,general,R,House of Delegates,48,Allen V. Evans,Grant,1924,
2006,general,R,House of Delegates,48,Allen V. Evans,Mineral,1068,
2006,general,R,House of Delegates,48,Allen V. Evans,Pendleton,235,
2006,general,D,House of Delegates,49,Jerry L. Detrick,Totals,2108,
2006,general,D,House of Delegates,49,Jerry L. Detrick,Mineral,2108,
2006,general,R,House of Delegates,49,Robert A. Schadler,Totals,2591,1
2006,general,R,House of Delegates,49,Robert A. Schadler,Mineral,2591,
2006,general,D,House of Delegates,50,Royce B. Saville,Totals,2062,
2006,general,D,House of Delegates,50,Royce B. Saville,Hampshire,1640,
2006,general,D,House of Delegates,50,Royce B. Saville,Mineral,422,
2006,general,R,House of Delegates,50,Ruth Rowan,Totals,2779,1
2006,general,R,House of Delegates,50,Ruth Rowan,Hampshire,2233,
2006,general,R,House of Delegates,50,Ruth Rowan,Mineral,546,
2006,general,D,House of Delegates,51,Gary Lee Nelson,Totals,1631,
2006,general,D,House of Delegates,51,Gary Lee Nelson,Hampshire,481,
2006,general,D,House of Delegates,51,Gary Lee Nelson,Morgan,1150,
2006,general,Mountain,House of Delegates,51,Robin Mills,Totals,369,
2006,general,Mountain,House of Delegates,51,Robin Mills,Hampshire,242,
2006,general,Mountain,House of Delegates,51,Robin Mills,Morgan,127,
2006,general,R,House of Delegates,51,Daryl E. Cowles,Totals,2401,1
2006,general,R,House of Delegates,51,Daryl E. Cowles,Hampshire,602,
2006,general,R,House of Delegates,51,Daryl E. Cowles,Morgan,1799,
2006,general,R,House of Delegates,52,Craig Blair,Totals,3769,1
2006,general,R,House of Delegates,52,Craig Blair,Berkeley,3028,
2006,general,R,House of Delegates,52,Craig Blair,Morgan,741,
2006,general,D,House of Delegates,53,Jerry L. Burton,Totals,1850,
2006,general,D,House of Delegates,53,Jerry L. Burton,Berkeley,1850,
2006,general,R,House of Delegates,53,Jonathan Miller,Totals,2607,1
2006,general,R,House of Delegates,53,Jonathan Miller,Berkeley,2607,
2006,general,R,House of Delegates,54,Walter E. Duke,Totals,2773,1
2006,general,R,House of Delegates,54,Walter E. Duke,Berkeley,2773,
2006,general,R,House of Delegates,55,John Overington,Totals,3574,1
2006,general,R,House of Delegates,55,John Overington,Berkeley,3574,
2006,general,D,House of Delegates,56,Bob Tabb,Totals,2729,1
2006,general,D,House of Delegates,56,Bob Tabb,Berkeley,1328,
2006,general,D,House of Delegates,56,Bob Tabb,Jefferson,1401,
2006,general,R,House of Delegates,56,R. Earl Wilbourne,Totals,1837,
2006,general,R,House of Delegates,56,R. Earl Wilbourne,Berkeley,1030,
2006,general,R,House of Delegates,56,R. Earl Wilbourne,Jefferson,807,
2006,general,D,House of Delegates,57,John Doyle,Totals,3494,1
2006,general,D,House of Delegates,57,John Doyle,Jefferson,3494,
2006,general,R,House of Delegates,57,Robert (Bob) Murto,Totals,2135,
2006,general,R,House of Delegates,57,Robert (Bob) Murto,Jefferson,2135,
2006,general,D,House of Delegates,58,Locke Wysong,Totals,2876,1
2006,general,D,House of Delegates,58,Locke Wysong,Jefferson,2876,
2006,general,R,House of Delegates,58,Bob Adams,Totals,1840,
2006,general,R,House of Delegates,58,Bob Adams,Jefferson,1840,
