year,election,office,district,party,candidate,county,votes,winner
2000,general,House of Delegates,48,D,"Henry ""Hank"" Kopple",Pendleton,21,
2000,general,House of Delegates,48,R,Allen V. Evans,Totals,4375,1
2000,general,House of Delegates,48,R,Allen V. Evans,Grant,2421,
2000,general,House of Delegates,48,R,Allen V. Evans,Mineral,1899,
2000,general,House of Delegates,48,R,Allen V. Evans,Pendleton,55,
2000,general,House of Delegates,48,Write-In,Adam Peters,Totals,1315,
2000,general,House of Delegates,48,Write-In,Adam Peters,Grant,1254,
2000,general,House of Delegates,48,Write-In,Adam Peters,Mineral,38,
2000,general,House of Delegates,48,Write-In,Adam Peters,Pendleton,23,
2000,general,House of Delegates,49,D,David E. Haines,Totals,2588,
2000,general,House of Delegates,49,D,David E. Haines,Mineral,2588,
2000,general,House of Delegates,49,R,Robert A. Schadler,Totals,3410,1
2000,general,House of Delegates,49,R,Robert A. Schadler,Mineral,3410,
2000,general,House of Delegates,50,D,Jerry L. Mezzatesta,Totals,5178,1
2000,general,House of Delegates,50,D,Jerry L. Mezzatesta,Hampshire,4616,
2000,general,House of Delegates,50,D,Jerry L. Mezzatesta,Mineral,562,
2000,general,House of Delegates,51,D,Claiborne B. Lashley,Totals,2090,
2000,general,House of Delegates,51,D,Claiborne B. Lashley,Berkeley,870,
2000,general,House of Delegates,51,D,Claiborne B. Lashley,Morgan,1220,
2000,general,House of Delegates,51,R,"Charles S. Trump, IV",Totals,5262,1
2000,general,House of Delegates,51,R,"Charles S. Trump, IV",Berkeley,1165,
2000,general,House of Delegates,51,R,"Charles S. Trump, IV",Morgan,4097,
2000,general,House of Delegates,52,D,Vicki V. Douglas,Totals,3623,1
2000,general,House of Delegates,52,D,Vicki V. Douglas,Berkeley,3623,
2000,general,House of Delegates,52,R,John Reisenweber,Totals,3105,
2000,general,House of Delegates,52,R,John Reisenweber,Berkeley,3105,
2000,general,House of Delegates,53,D,Dan Kawalek,Totals,2973,
2000,general,House of Delegates,53,D,Dan Kawalek,Berkeley,2973,
2000,general,House of Delegates,53,R,Larry V. Faircloth,Totals,3888,1
2000,general,House of Delegates,53,R,Larry V. Faircloth,Berkeley,3888,
2000,general,House of Delegates,54,D,Laura R. Rose,Totals,2773,
2000,general,House of Delegates,54,D,Laura R. Rose,Berkeley,2773,
2000,general,House of Delegates,54,R,John Overington,Totals,4222,1
2000,general,House of Delegates,54,R,John Overington,Berkeley,4222,
2000,general,House of Delegates,55,D,John Doyle,Totals,3910,1
2000,general,House of Delegates,55,D,John Doyle,Berkeley,3910,
2000,general,House of Delegates,55,R,Anne Newcomer Dungan,Totals,2241,
2000,general,House of Delegates,55,R,Anne Newcomer Dungan,Berkeley,2241,
2000,general,House of Delegates,55,Write-In,Bob Tabb,Totals,884,
2000,general,House of Delegates,55,Write-In,Bob Tabb,Berkeley,884,
2000,general,House of Delegates,56,D,Dale Manuel,Totals,4173,1
2000,general,House of Delegates,56,D,Dale Manuel,Jefferson,4173,
2000,general,House of Delegates,56,R,George Quinn,Totals,2418,
2000,general,House of Delegates,56,R,George Quinn,Jefferson,2418,
2000,general,House of Delegates,56,Write-In,Tim West,Totals,241,
2000,general,House of Delegates,56,Write-In,Tim West,Jefferson,241,
