candidate,office,district,party,county,precinct,total votes,election day,early voting
John D. Perdue,Governor,,,Berkeley,Precinct 22A,8,3,5
Rick Thompson,Governor,,,Berkeley,Precinct 22A,5,2,3
Arne Moltis,Governor,,,Berkeley,Precinct 22A,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 22A,5,2,3
,Registered Voters ,,R,Berkeley,Precinct 23,789,,
,Registered Voters ,,D,Berkeley,Precinct 23,651,,
,Ballots Cast,,R,Berkeley,Precinct 23,75,51,24
,Ballots Cast,,D,Berkeley,Precinct 23,43,33,10
Bill Maloney,Governor,,,Berkeley,Precinct 23,9,6,3
Ralph William Clark,Governor,,,Berkeley,Precinct 23,1,0,1
Larry V. Faircloth,Governor,,,Berkeley,Precinct 23,34,25,9
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 23,3,2,1
Clark Barnes,Governor,,,Berkeley,Precinct 23,7,4,3
Cliff Ellis,Governor,,,Berkeley,Precinct 23,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 23,20,13,7
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 23,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 23,23,17,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 23,6,5,1
John D. Perdue,Governor,,,Berkeley,Precinct 23,4,4,0
Rick Thompson,Governor,,,Berkeley,Precinct 23,4,4,0
Arne Moltis,Governor,,,Berkeley,Precinct 23,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 23,5,2,3
,Registered Voters ,,R,Berkeley,Precinct 24,363,,
,Registered Voters ,,D,Berkeley,Precinct 24,498,,
,Ballots Cast,,R,Berkeley,Precinct 24,27,20,7
,Ballots Cast,,D,Berkeley,Precinct 24,52,36,16
Bill Maloney,Governor,,,Berkeley,Precinct 24,2,2,0
Ralph William Clark,Governor,,,Berkeley,Precinct 24,2,2,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 24,16,12,4
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 24,1,0,1
Clark Barnes,Governor,,,Berkeley,Precinct 24,1,1,0
Cliff Ellis,Governor,,,Berkeley,Precinct 24,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 24,4,3,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 24,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 24,22,15,7
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 24,5,3,2
John D. Perdue,Governor,,,Berkeley,Precinct 24,10,9,1
Rick Thompson,Governor,,,Berkeley,Precinct 24,6,4,2
Arne Moltis,Governor,,,Berkeley,Precinct 24,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 24,9,5,4
,Registered Voters ,,R,Berkeley,Precinct 25,320,,
,Registered Voters ,,D,Berkeley,Precinct 25,568,,
,Ballots Cast,,R,Berkeley,Precinct 25,24,18,6
,Ballots Cast,,D,Berkeley,Precinct 25,27,21,6
Bill Maloney,Governor,,,Berkeley,Precinct 25,6,6,0
Ralph William Clark,Governor,,,Berkeley,Precinct 25,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 25,9,5,4
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 25,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 25,2,2,0
Cliff Ellis,Governor,,,Berkeley,Precinct 25,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 25,6,4,2
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 25,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 25,16,11,5
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 25,1,1,0
John D. Perdue,Governor,,,Berkeley,Precinct 25,1,1,0
Rick Thompson,Governor,,,Berkeley,Precinct 25,3,3,0
Arne Moltis,Governor,,,Berkeley,Precinct 25,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 25,5,4,1
,Registered Voters ,,R,Berkeley,Precinct 26,361,,
,Registered Voters ,,D,Berkeley,Precinct 26,388,,
,Ballots Cast,,R,Berkeley,Precinct 26,33,30,3
,Ballots Cast,,D,Berkeley,Precinct 26,38,29,9
Bill Maloney,Governor,,,Berkeley,Precinct 26,3,3,0
Ralph William Clark,Governor,,,Berkeley,Precinct 26,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 26,13,13,0
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 26,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 26,3,3,0
Cliff Ellis,Governor,,,Berkeley,Precinct 26,1,1,0
Betty Ireland,Governor,,,Berkeley,Precinct 26,13,10,3
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 26,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 26,20,13,7
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 26,1,1,0
John D. Perdue,Governor,,,Berkeley,Precinct 26,4,4,0
Rick Thompson,Governor,,,Berkeley,Precinct 26,8,6,2
Arne Moltis,Governor,,,Berkeley,Precinct 26,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 26,4,4,0
,Registered Voters ,,R,Berkeley,Precinct 27,454,,
,Registered Voters ,,D,Berkeley,Precinct 27,498,,
,Ballots Cast,,R,Berkeley,Precinct 27,74,52,22
,Ballots Cast,,D,Berkeley,Precinct 27,105,68,37
Bill Maloney,Governor,,,Berkeley,Precinct 27,17,13,4
Ralph William Clark,Governor,,,Berkeley,Precinct 27,4,3,1
Larry V. Faircloth,Governor,,,Berkeley,Precinct 27,22,16,6
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 27,3,1,2
Clark Barnes,Governor,,,Berkeley,Precinct 27,10,7,3
Cliff Ellis,Governor,,,Berkeley,Precinct 27,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 27,18,12,6
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 27,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 27,43,28,15
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 27,14,8,6
John D. Perdue,Governor,,,Berkeley,Precinct 27,14,7,7
Rick Thompson,Governor,,,Berkeley,Precinct 27,20,16,4
Arne Moltis,Governor,,,Berkeley,Precinct 27,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 27,14,9,5
,Registered Voters ,,R,Berkeley,Precinct 28,384,,
,Registered Voters ,,D,Berkeley,Precinct 28,374,,
,Ballots Cast,,R,Berkeley,Precinct 28,54,34,20
,Ballots Cast,,D,Berkeley,Precinct 28,40,25,15
Bill Maloney,Governor,,,Berkeley,Precinct 28,16,8,8
Ralph William Clark,Governor,,,Berkeley,Precinct 28,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 28,12,10,2
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 28,6,5,1
Clark Barnes,Governor,,,Berkeley,Precinct 28,3,3,0
Cliff Ellis,Governor,,,Berkeley,Precinct 28,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 28,16,8,8
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 28,1,0,1
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 28,20,14,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 28,2,0,2
John D. Perdue,Governor,,,Berkeley,Precinct 28,4,2,2
Rick Thompson,Governor,,,Berkeley,Precinct 28,7,6,1
Arne Moltis,Governor,,,Berkeley,Precinct 28,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 28,5,3,2
,Registered Voters ,,R,Berkeley,Precinct 29,363,,
,Registered Voters ,,D,Berkeley,Precinct 29,419,,
,Ballots Cast,,R,Berkeley,Precinct 29,63,47,16
,Ballots Cast,,D,Berkeley,Precinct 29,51,39,12
Bill Maloney,Governor,,,Berkeley,Precinct 29,15,10,5
Ralph William Clark,Governor,,,Berkeley,Precinct 29,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 29,26,18,8
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 29,1,1,0
Clark Barnes,Governor,,,Berkeley,Precinct 29,6,4,2
Cliff Ellis,Governor,,,Berkeley,Precinct 29,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 29,14,13,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 29,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 29,27,21,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 29,7,5,2
John D. Perdue,Governor,,,Berkeley,Precinct 29,4,4,0
Rick Thompson,Governor,,,Berkeley,Precinct 29,3,2,1
Arne Moltis,Governor,,,Berkeley,Precinct 29,1,0,1
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 29,8,6,2
,Registered Voters ,,R,Berkeley,Precinct 30,373,,
,Registered Voters ,,D,Berkeley,Precinct 30,287,,
,Ballots Cast,,R,Berkeley,Precinct 30,26,22,4
,Ballots Cast,,D,Berkeley,Precinct 30,37,19,18
Bill Maloney,Governor,,,Berkeley,Precinct 30,6,6,0
Ralph William Clark,Governor,,,Berkeley,Precinct 30,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 30,10,8,2
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 30,1,0,1
Clark Barnes,Governor,,,Berkeley,Precinct 30,2,2,0
Cliff Ellis,Governor,,,Berkeley,Precinct 30,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 30,7,6,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 30,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 30,16,10,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 30,6,4,2
John D. Perdue,Governor,,,Berkeley,Precinct 30,4,0,4
Rick Thompson,Governor,,,Berkeley,Precinct 30,5,2,3
Arne Moltis,Governor,,,Berkeley,Precinct 30,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 30,6,3,3
,Registered Voters ,,R,Berkeley,Precinct 32,396,,
,Registered Voters ,,D,Berkeley,Precinct 32,391,,
,Ballots Cast,,R,Berkeley,Precinct 32,46,41,5
,Ballots Cast,,D,Berkeley,Precinct 32,28,24,4
Bill Maloney,Governor,,,Berkeley,Precinct 32,8,7,1
Ralph William Clark,Governor,,,Berkeley,Precinct 32,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 32,26,25,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 32,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 32,6,5,1
Cliff Ellis,Governor,,,Berkeley,Precinct 32,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 32,6,4,2
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 32,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 32,10,7,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 32,2,2,0
John D. Perdue,Governor,,,Berkeley,Precinct 32,3,3,0
Rick Thompson,Governor,,,Berkeley,Precinct 32,9,8,1
Arne Moltis,Governor,,,Berkeley,Precinct 32,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 32,3,3,0
,Registered Voters ,,R,Berkeley,Precinct 34,485,,
,Registered Voters ,,D,Berkeley,Precinct 34,368,,
,Ballots Cast,,R,Berkeley,Precinct 34,61,40,21
,Ballots Cast,,D,Berkeley,Precinct 34,50,37,13
Bill Maloney,Governor,,,Berkeley,Precinct 34,11,8,3
Ralph William Clark,Governor,,,Berkeley,Precinct 34,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 34,26,17,9
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 34,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 34,11,7,4
Cliff Ellis,Governor,,,Berkeley,Precinct 34,1,0,1
Betty Ireland,Governor,,,Berkeley,Precinct 34,11,7,4
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 34,1,1,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 34,18,15,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 34,7,6,1
John D. Perdue,Governor,,,Berkeley,Precinct 34,9,5,4
Rick Thompson,Governor,,,Berkeley,Precinct 34,9,6,3
Arne Moltis,Governor,,,Berkeley,Precinct 34,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 34,7,5,2
,Registered Voters ,,R,Berkeley,Precinct 35,497,,
,Registered Voters ,,D,Berkeley,Precinct 35,459,,
,Ballots Cast,,R,Berkeley,Precinct 35,61,43,18
,Ballots Cast,,D,Berkeley,Precinct 35,41,29,12
Bill Maloney,Governor,,,Berkeley,Precinct 35,9,3,6
Ralph William Clark,Governor,,,Berkeley,Precinct 35,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 35,25,19,6
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 35,5,4,1
Clark Barnes,Governor,,,Berkeley,Precinct 35,3,3,0
Cliff Ellis,Governor,,,Berkeley,Precinct 35,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 35,17,12,5
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 35,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 35,18,13,5
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 35,6,6,0
John D. Perdue,Governor,,,Berkeley,Precinct 35,7,5,2
Rick Thompson,Governor,,,Berkeley,Precinct 35,5,2,3
Arne Moltis,Governor,,,Berkeley,Precinct 35,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 35,5,3,2
,Registered Voters ,,R,Berkeley,Precinct 36,668,,
,Registered Voters ,,D,Berkeley,Precinct 36,557,,
,Ballots Cast,,R,Berkeley,Precinct 36,93,72,21
,Ballots Cast,,D,Berkeley,Precinct 36,56,45,11
Bill Maloney,Governor,,,Berkeley,Precinct 36,17,15,2
Ralph William Clark,Governor,,,Berkeley,Precinct 36,2,2,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 36,38,25,13
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 36,2,1,1
Clark Barnes,Governor,,,Berkeley,Precinct 36,12,11,1
Cliff Ellis,Governor,,,Berkeley,Precinct 36,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 36,17,13,4
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 36,2,2,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 36,32,24,8
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 36,2,2,0
John D. Perdue,Governor,,,Berkeley,Precinct 36,12,10,2
Rick Thompson,Governor,,,Berkeley,Precinct 36,2,2,0
Arne Moltis,Governor,,,Berkeley,Precinct 36,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 36,8,7,1
,Registered Voters ,,R,Berkeley,Precinct 38,466,,1
,Registered Voters ,,D,Berkeley,Precinct 38,395,,
,Ballots Cast,,R,Berkeley,Precinct 38,73,34,39
,Ballots Cast,,D,Berkeley,Precinct 38,114,54,60
Bill Maloney,Governor,,,Berkeley,Precinct 38,10,5,5
Ralph William Clark,Governor,,,Berkeley,Precinct 38,4,3,1
Larry V. Faircloth,Governor,,,Berkeley,Precinct 38,19,6,13
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 38,2,2,0
Clark Barnes,Governor,,,Berkeley,Precinct 38,3,2,1
Cliff Ellis,Governor,,,Berkeley,Precinct 38,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 38,34,16,18
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 38,1,0,1
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 38,37,,
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 38,8,,
John D. Perdue,Governor,,,Berkeley,Precinct 38,22,,
Rick Thompson,Governor,,,Berkeley,Precinct 38,22,,
Arne Moltis,Governor,,,Berkeley,Precinct 38,0,,
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 38,24,,
,Registered Voters ,,R,Berkeley,Precinct 39,1012,,
,Registered Voters ,,D,Berkeley,Precinct 39,694,,
,Ballots Cast,,R,Berkeley,Precinct 39,145,92,53
,Ballots Cast,,D,Berkeley,Precinct 39,101,57,44
Bill Maloney,Governor,,,Berkeley,Precinct 39,33,24,9
Ralph William Clark,Governor,,,Berkeley,Precinct 39,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 39,39,22,17
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 39,6,3,3
Clark Barnes,Governor,,,Berkeley,Precinct 39,13,6,7
Cliff Ellis,Governor,,,Berkeley,Precinct 39,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 39,46,32,14
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 39,7,4,3
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 39,43,22,21
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 39,7,3,4
John D. Perdue,Governor,,,Berkeley,Precinct 39,9,6,3
Rick Thompson,Governor,,,Berkeley,Precinct 39,19,12,7
Arne Moltis,Governor,,,Berkeley,Precinct 39,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 39,20,13,7
,Registered Voters ,,R,Berkeley,Precinct 40,679,,
,Registered Voters ,,D,Berkeley,Precinct 40,593,,
,Ballots Cast,,R,Berkeley,Precinct 40,71,59,12
,Ballots Cast,,D,Berkeley,Precinct 40,68,37,31
Bill Maloney,Governor,,,Berkeley,Precinct 40,7,6,1
Ralph William Clark,Governor,,,Berkeley,Precinct 40,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 40,24,16,8
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 40,3,3,0
Clark Barnes,Governor,,,Berkeley,Precinct 40,15,15,0
Cliff Ellis,Governor,,,Berkeley,Precinct 40,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 40,20,17,3
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 40,1,1,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 40,22,11,11
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 40,6,2,4
John D. Perdue,Governor,,,Berkeley,Precinct 40,9,8,1
Rick Thompson,Governor,,,Berkeley,Precinct 40,14,6,8
Arne Moltis,Governor,,,Berkeley,Precinct 40,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 40,17,10,7
,Registered Voters ,,R,Berkeley,Precinct 41,692,,
,Registered Voters ,,D,Berkeley,Precinct 41,441,,
,Ballots Cast,,R,Berkeley,Precinct 41,109,81,28
,Ballots Cast,,D,Berkeley,Precinct 41,57,38,19
Bill Maloney,Governor,,,Berkeley,Precinct 41,15,12,3
Ralph William Clark,Governor,,,Berkeley,Precinct 41,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 41,30,22,8
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 41,3,0,3
Clark Barnes,Governor,,,Berkeley,Precinct 41,17,15,2
Cliff Ellis,Governor,,,Berkeley,Precinct 41,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 41,44,32,12
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 41,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 41,24,18,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 41,5,2,3
John D. Perdue,Governor,,,Berkeley,Precinct 41,7,2,5
Rick Thompson,Governor,,,Berkeley,Precinct 41,14,10,4
Arne Moltis,Governor,,,Berkeley,Precinct 41,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 41,7,6,1
,Registered Voters ,,R,Berkeley,Precinct 42,351,,
,Registered Voters ,,D,Berkeley,Precinct 42,286,,
,Ballots Cast,,R,Berkeley,Precinct 42,54,41,13
,Ballots Cast,,D,Berkeley,Precinct 42,39,30,9
Bill Maloney,Governor,,,Berkeley,Precinct 42,14,11,3
Ralph William Clark,Governor,,,Berkeley,Precinct 42,1,0,1
Larry V. Faircloth,Governor,,,Berkeley,Precinct 42,12,11,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 42,4,4,0
Clark Barnes,Governor,,,Berkeley,Precinct 42,6,5,1
Cliff Ellis,Governor,,,Berkeley,Precinct 42,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 42,14,9,5
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 42,1,0,1
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 42,20,16,4
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 42,3,3,0
John D. Perdue,Governor,,,Berkeley,Precinct 42,3,3,0
Rick Thompson,Governor,,,Berkeley,Precinct 42,8,6,2
Arne Moltis,Governor,,,Berkeley,Precinct 42,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 42,4,1,3
,Registered Voters ,,R,Berkeley,Precinct 43,105,,
,Registered Voters ,,D,Berkeley,Precinct 43,110,,
,Ballots Cast,,R,Berkeley,Precinct 43,26,25,1
,Ballots Cast,,D,Berkeley,Precinct 43,18,15,3
Bill Maloney,Governor,,,Berkeley,Precinct 43,2,2,0
Ralph William Clark,Governor,,,Berkeley,Precinct 43,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 43,12,11,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 43,1,1,0
Clark Barnes,Governor,,,Berkeley,Precinct 43,5,5,0
Cliff Ellis,Governor,,,Berkeley,Precinct 43,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 43,5,5,0
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 43,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 43,4,4,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 43,5,4,1
John D. Perdue,Governor,,,Berkeley,Precinct 43,3,3,0
Rick Thompson,Governor,,,Berkeley,Precinct 43,4,3,1
Arne Moltis,Governor,,,Berkeley,Precinct 43,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 43,2,1,1
,Registered Voters ,,R,Berkeley,Precinct 43A,317,,
,Registered Voters ,,D,Berkeley,Precinct 43A,209,,
,Ballots Cast,,R,Berkeley,Precinct 43A,57,53,4
,Ballots Cast,,D,Berkeley,Precinct 43A,34,32,2
Bill Maloney,Governor,,,Berkeley,Precinct 43A,4,3,1
Ralph William Clark,Governor,,,Berkeley,Precinct 43A,2,2,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 43A,30,29,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 43A,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 43A,8,7,1
Cliff Ellis,Governor,,,Berkeley,Precinct 43A,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 43A,12,11,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 43A,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 43A,17,17,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 43A,1,1,0
John D. Perdue,Governor,,,Berkeley,Precinct 43A,5,5,0
Rick Thompson,Governor,,,Berkeley,Precinct 43A,8,7,1
Arne Moltis,Governor,,,Berkeley,Precinct 43A,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 43A,3,2,1
,Registered Voters ,,R,Berkeley,Precinct 44,221,,
,Registered Voters ,,D,Berkeley,Precinct 44,204,,
,Ballots Cast,,R,Berkeley,Precinct 44,34,23,11
,Ballots Cast,,D,Berkeley,Precinct 44,45,32,13
Bill Maloney,Governor,,,Berkeley,Precinct 44,6,4,2
Ralph William Clark,Governor,,,Berkeley,Precinct 44,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 44,15,10,5
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 44,3,3,0
Clark Barnes,Governor,,,Berkeley,Precinct 44,3,2,1
Cliff Ellis,Governor,,,Berkeley,Precinct 44,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 44,7,4,3
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 44,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 44,19,12,7
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 44,3,2,1
John D. Perdue,Governor,,,Berkeley,Precinct 44,4,2,2
Rick Thompson,Governor,,,Berkeley,Precinct 44,5,4,1
Arne Moltis,Governor,,,Berkeley,Precinct 44,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 44,14,12,2
,Registered Voters ,,R,Berkeley,Precinct 45,501,,
,Registered Voters ,,D,Berkeley,Precinct 45,383,,
,Ballots Cast,,R,Berkeley,Precinct 45,63,49,14
,Ballots Cast,,D,Berkeley,Precinct 45,38,27,11
Bill Maloney,Governor,,,Berkeley,Precinct 45,2,1,1
Ralph William Clark,Governor,,,Berkeley,Precinct 45,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 45,25,22,3
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 45,4,1,3
Clark Barnes,Governor,,,Berkeley,Precinct 45,17,13,4
Cliff Ellis,Governor,,,Berkeley,Precinct 45,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 45,15,12,3
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 45,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 45,13,11,2
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 45,5,5,0
John D. Perdue,Governor,,,Berkeley,Precinct 45,1,0,1
Rick Thompson,Governor,,,Berkeley,Precinct 45,5,4,1
Arne Moltis,Governor,,,Berkeley,Precinct 45,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 45,14,7,7
,Registered Voters ,,R,Berkeley,Precinct 46,258,,
,Registered Voters ,,D,Berkeley,Precinct 46,137,,
,Ballots Cast,,R,Berkeley,Precinct 46,37,31,6
,Ballots Cast,,D,Berkeley,Precinct 46,11,11,0
Bill Maloney,Governor,,,Berkeley,Precinct 46,0,0,0
Ralph William Clark,Governor,,,Berkeley,Precinct 46,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 46,19,16,3
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 46,3,1,2
Clark Barnes,Governor,,,Berkeley,Precinct 46,3,3,0
Cliff Ellis,Governor,,,Berkeley,Precinct 46,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 46,11,10,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 46,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 46,6,6,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 46,1,1,0
John D. Perdue,Governor,,,Berkeley,Precinct 46,1,1,0
Rick Thompson,Governor,,,Berkeley,Precinct 46,1,1,0
Arne Moltis,Governor,,,Berkeley,Precinct 46,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 46,2,2,0
,Registered Voters ,,R,Berkeley,Precinct 46A,386,,
,Registered Voters ,,D,Berkeley,Precinct 46A,275,,
,Ballots Cast,,R,Berkeley,Precinct 46A,59,41,18
,Ballots Cast,,D,Berkeley,Precinct 46A,36,24,12
Bill Maloney,Governor,,,Berkeley,Precinct 46A,8,7,1
Ralph William Clark,Governor,,,Berkeley,Precinct 46A,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 46A,13,12,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 46A,8,3,5
Clark Barnes,Governor,,,Berkeley,Precinct 46A,7,7,0
Cliff Ellis,Governor,,,Berkeley,Precinct 46A,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 46A,21,11,10
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 46A,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 46A,19,12,7
