county,precinct,office,district,candidate,party,votes,,,,,,,,,,,,,
Wayne,Wayne05,Governor,,Russ Weeks,REP,95,,,,,,,,,,,,,
Wayne,Wayne06,Governor,,Russ Weeks,REP,50,,,,,,,,,,,,,
Wayne,Wayne11,Governor,,Russ Weeks,REP,49,,,,,,,,,,,,,
Wayne,Wayne12,Governor,,Russ Weeks,REP,67,,,,,,,,,,,,,
Wayne,Wayne13,Governor,,Russ Weeks,REP,104,,,,,,,,,,,,,
Wayne,Wayne14,Governor,,Russ Weeks,REP,133,,,,,,,,,,,,,
Wayne,Wayne16,Governor,,Russ Weeks,REP,55,,,,,,,,,,,,,
Wayne,Wayne17,Governor,,Russ Weeks,REP,95,,,,,,,,,,,,,
Wayne,Wayne18,Governor,,Russ Weeks,REP,76,,,,,,,,,,,,,
Wayne,Wayne19,Governor,,Russ Weeks,REP,134,,,,,,,,,,,,,
Wayne,Wayne20,Governor,,Russ Weeks,REP,75,,,,,,,,,,,,,
Wayne,Wayne21,Governor,,Russ Weeks,REP,61,,,,,,,,,,,,,
Wayne,Wayne22,Governor,,Russ Weeks,REP,77,,,,,,,,,,,,,
Wayne,Wayne30,Governor,,Russ Weeks,REP,68,,,,,,,,,,,,,
Wayne,Wayne31,Governor,,Russ Weeks,REP,69,,,,,,,,,,,,,
Wayne,Wayne34,Governor,,Russ Weeks,REP,82,,,,,,,,,,,,,
Wayne,Wayne36,Governor,,Russ Weeks,REP,91,,,,,,,,,,,,,
Wayne,Wayne37,Governor,,Russ Weeks,REP,109,,,,,,,,,,,,,
Wayne,Wayne41,Governor,,Russ Weeks,REP,48,,,,,,,,,,,,,
Wayne,Wayne42,Governor,,Russ Weeks,REP,31,,,,,,,,,,,,,
Wayne,Wayne45,Governor,,Russ Weeks,REP,49,,,,,,,,,,,,,
Wayne,Wayne48,Governor,,Russ Weeks,REP,109,,,,,,,,,,,,,
Wayne,Wayne49,Governor,,Russ Weeks,REP,139,,,,,,,,,,,,,
Wayne,Wayne50,Governor,,Russ Weeks,REP,91,,,,,,,,,,,,,
Wayne,Wayne51,Governor,,Russ Weeks,REP,89,,,,,,,,,,,,,
Wayne,Wayne52,Governor,,Russ Weeks,REP,47,,,,,,,,,,,,,
Wayne,Wayne53,Governor,,Russ Weeks,REP,105,,,,,,,,,,,,,
Wayne,Wayne54,Governor,,Russ Weeks,REP,66,,,,,,,,,,,,,
Wayne,Wayne56,Governor,,Russ Weeks,REP,149,,,,,,,,,,,,,
Wayne,Wayne57,Governor,,Russ Weeks,REP,75,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Governor,,Russ Weeks,REP,85,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Governor,,Russ Weeks,REP,89,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Governor,,Russ Weeks,REP,69,,,,,,,,,,,,,
Wayne,Wayne62,Governor,,Russ Weeks,REP,148,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Governor,,Russ Weeks,REP,65,,,,,,,,,,,,,
Wayne,,Governor,,Russ Weeks,REP,3132,,,,,,,,,,,,,
Wayne,Wayne01,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne03,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne05,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne06,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne11,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne12,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne13,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne14,Governor,,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne16,Governor,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne17,Governor,,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne18,Governor,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne19,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne20,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne21,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne22,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne30,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne31,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne34,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne36,Governor,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne37,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne41,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne42,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne45,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne48,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne49,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne50,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne51,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne52,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne53,Governor,,Write-ins,,3,,,,,,,,,,,,,
Wayne,Wayne54,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne56,Governor,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne57,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne62,Governor,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Governor,,Write-ins,,1,,,,,,,,,,,,,
Wayne,,Governor,,Write-ins,,12,,,,,,,,,,,,,
Wayne,Wayne56,State House,16,Amy Herrenkohl,DEM,246,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,State House,16,Amy Herrenkohl,DEM,165,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,State House,16,Amy Herrenkohl,DEM,166,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,State House,16,Amy Herrenkohl,DEM,142,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,State House,16,Amy Herrenkohl,DEM,143,,,,,,,,,,,,,
Wayne,,State House,16,Amy Herrenkohl,DEM,862,,,,,,,,,,,,,
Wayne,Wayne56,State House,16,Dale Stephens,DEM,429,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,State House,16,Dale Stephens,DEM,283,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,State House,16,Dale Stephens,DEM,317,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,State House,16,Dale Stephens,DEM,256,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,State House,16,Dale Stephens,DEM,228,,,,,,,,,,,,,
Wayne,,State House,16,Dale Stephens,DEM,1513,,,,,,,,,,,,,
Wayne,Wayne01,State House,17,Don Perdue,DEM,340,,,,,,,,,,,,,
Wayne,Wayne03,State House,17,Don Perdue,DEM,185,,,,,,,,,,,,,
Wayne,Wayne05,State House,17,Don Perdue,DEM,313,,,,,,,,,,,,,
Wayne,Wayne06,State House,17,Don Perdue,DEM,137,,,,,,,,,,,,,
Wayne,Wayne11,State House,17,Don Perdue,DEM,180,,,,,,,,,,,,,
Wayne,Wayne12,State House,17,Don Perdue,DEM,214,,,,,,,,,,,,,
Wayne,Wayne13,State House,17,Don Perdue,DEM,283,,,,,,,,,,,,,
Wayne,Wayne14,State House,17,Don Perdue,DEM,390,,,,,,,,,,,,,
Wayne,Wayne16,State House,17,Don Perdue,DEM,157,,,,,,,,,,,,,
Wayne,Wayne17,State House,17,Don Perdue,DEM,241,,,,,,,,,,,,,
Wayne,Wayne18,State House,17,Don Perdue,DEM,270,,,,,,,,,,,,,
Wayne,Wayne19,State House,17,Don Perdue,DEM,324,,,,,,,,,,,,,
Wayne,Wayne20,State House,17,Don Perdue,DEM,258,,,,,,,,,,,,,
Wayne,Wayne21,State House,17,Don Perdue,DEM,194,,,,,,,,,,,,,
Wayne,Wayne22,State House,17,Don Perdue,DEM,189,,,,,,,,,,,,,
Wayne,Wayne30,State House,17,Don Perdue,DEM,150,,,,,,,,,,,,,
Wayne,Wayne31,State House,17,Don Perdue,DEM,172,,,,,,,,,,,,,
Wayne,Wayne36,State House,17,Don Perdue,DEM,217,,,,,,,,,,,,,
Wayne,Wayne41,State House,17,Don Perdue,DEM,157,,,,,,,,,,,,,
Wayne,Wayne42,State House,17,Don Perdue,DEM,147,,,,,,,,,,,,,
Wayne,Wayne45,State House,17,Don Perdue,DEM,192,,,,,,,,,,,,,
Wayne,Wayne48,State House,17,Don Perdue,DEM,301,,,,,,,,,,,,,
Wayne,Wayne49,State House,17,Don Perdue,DEM,360,,,,,,,,,,,,,
Wayne,Wayne50,State House,17,Don Perdue,DEM,287,,,,,,,,,,,,,
Wayne,Wayne51,State House,17,Don Perdue,DEM,289,,,,,,,,,,,,,
Wayne,Wayne52,State House,17,Don Perdue,DEM,144,,,,,,,,,,,,,
Wayne,Wayne53,State House,17,Don Perdue,DEM,274,,,,,,,,,,,,,
Wayne,Wayne54,State House,17,Don Perdue,DEM,238,,,,,,,,,,,,,
Wayne,Wayne57,State House,17,Don Perdue,DEM,205,,,,,,,,,,,,,
Wayne,Wayne62,State House,17,Don Perdue,DEM,313,,,,,,,,,,,,,
Wayne,,State House,17,Don Perdue,DEM,7121,,,,,,,,,,,,,
Wayne,Wayne56,State House,16,Doug Reynolds,DEM,439,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,State House,16,Doug Reynolds,DEM,309,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,State House,16,Doug Reynolds,DEM,333,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,State House,16,Doug Reynolds,DEM,270,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,State House,16,Doug Reynolds,DEM,207,,,,,,,,,,,,,
Wayne,,State House,16,Doug Reynolds,DEM,1558,,,,,,,,,,,,,
Wayne,Wayne56,State House,16,Kelli Sobonya,REP,383,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,State House,16,Kelli Sobonya,REP,241,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,State House,16,Kelli Sobonya,REP,230,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,State House,16,Kelli Sobonya,REP,199,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,State House,16,Kelli Sobonya,REP,171,,,,,,,,,,,,,
Wayne,,State House,16,Kelli Sobonya,REP,1224,,,,,,,,,,,,,
Wayne,Wayne01,State House,17,Lisa Peana,REP,155,,,,,,,,,,,,,
Wayne,Wayne03,State House,17,Lisa Peana,REP,135,,,,,,,,,,,,,
Wayne,Wayne05,State House,17,Lisa Peana,REP,164,,,,,,,,,,,,,
Wayne,Wayne06,State House,17,Lisa Peana,REP,73,,,,,,,,,,,,,
Wayne,Wayne11,State House,17,Lisa Peana,REP,116,,,,,,,,,,,,,
Wayne,Wayne12,State House,17,Lisa Peana,REP,150,,,,,,,,,,,,,
Wayne,Wayne13,State House,17,Lisa Peana,REP,214,,,,,,,,,,,,,
Wayne,Wayne14,State House,17,Lisa Peana,REP,318,,,,,,,,,,,,,
Wayne,Wayne16,State House,17,Lisa Peana,REP,142,,,,,,,,,,,,,
Wayne,Wayne17,State House,17,Lisa Peana,REP,191,,,,,,,,,,,,,
Wayne,Wayne18,State House,17,Lisa Peana,REP,150,,,,,,,,,,,,,
Wayne,Wayne19,State House,17,Lisa Peana,REP,243,,,,,,,,,,,,,
Wayne,Wayne20,State House,17,Lisa Peana,REP,177,,,,,,,,,,,,,
Wayne,Wayne21,State House,17,Lisa Peana,REP,136,,,,,,,,,,,,,
Wayne,Wayne22,State House,17,Lisa Peana,REP,150,,,,,,,,,,,,,
Wayne,Wayne30,State House,17,Lisa Peana,REP,105,,,,,,,,,,,,,
Wayne,Wayne31,State House,17,Lisa Peana,REP,86,,,,,,,,,,,,,
Wayne,Wayne36,State House,17,Lisa Peana,REP,131,,,,,,,,,,,,,
Wayne,Wayne41,State House,17,Lisa Peana,REP,63,,,,,,,,,,,,,
Wayne,Wayne42,State House,17,Lisa Peana,REP,45,,,,,,,,,,,,,
Wayne,Wayne45,State House,17,Lisa Peana,REP,81,,,,,,,,,,,,,
Wayne,Wayne48,State House,17,Lisa Peana,REP,188,,,,,,,,,,,,,
Wayne,Wayne49,State House,17,Lisa Peana,REP,251,,,,,,,,,,,,,
Wayne,Wayne50,State House,17,Lisa Peana,REP,165,,,,,,,,,,,,,
Wayne,Wayne51,State House,17,Lisa Peana,REP,169,,,,,,,,,,,,,
Wayne,Wayne52,State House,17,Lisa Peana,REP,67,,,,,,,,,,,,,
Wayne,Wayne53,State House,17,Lisa Peana,REP,178,,,,,,,,,,,,,
Wayne,Wayne54,State House,17,Lisa Peana,REP,139,,,,,,,,,,,,,
Wayne,Wayne57,State House,17,Lisa Peana,REP,168,,,,,,,,,,,,,
Wayne,Wayne62,State House,17,Lisa Peana,REP,274,,,,,,,,,,,,,
Wayne,,State House,17,Lisa Peana,REP,4624,,,,,,,,,,,,,
Wayne,Wayne01,State House,17,Richard Thompson,DEM,380,,,,,,,,,,,,,
Wayne,Wayne03,State House,17,Richard Thompson,DEM,229,,,,,,,,,,,,,
Wayne,Wayne05,State House,17,Richard Thompson,DEM,291,,,,,,,,,,,,,
Wayne,Wayne06,State House,17,Richard Thompson,DEM,158,,,,,,,,,,,,,
Wayne,Wayne11,State House,17,Richard Thompson,DEM,139,,,,,,,,,,,,,
Wayne,Wayne12,State House,17,Richard Thompson,DEM,184,,,,,,,,,,,,,
Wayne,Wayne13,State House,17,Richard Thompson,DEM,249,,,,,,,,,,,,,
Wayne,Wayne14,State House,17,Richard Thompson,DEM,461,,,,,,,,,,,,,
Wayne,Wayne16,State House,17,Richard Thompson,DEM,142,,,,,,,,,,,,,
Wayne,Wayne17,State House,17,Richard Thompson,DEM,231,,,,,,,,,,,,,
Wayne,Wayne18,State House,17,Richard Thompson,DEM,237,,,,,,,,,,,,,
Wayne,Wayne19,State House,17,Richard Thompson,DEM,367,,,,,,,,,,,,,
Wayne,Wayne20,State House,17,Richard Thompson,DEM,253,,,,,,,,,,,,,
Wayne,Wayne21,State House,17,Richard Thompson,DEM,175,,,,,,,,,,,,,
Wayne,Wayne22,State House,17,Richard Thompson,DEM,255,,,,,,,,,,,,,
Wayne,Wayne30,State House,17,Richard Thompson,DEM,180,,,,,,,,,,,,,
Wayne,Wayne31,State House,17,Richard Thompson,DEM,195,,,,,,,,,,,,,
Wayne,Wayne36,State House,17,Richard Thompson,DEM,252,,,,,,,,,,,,,
Wayne,Wayne41,State House,17,Richard Thompson,DEM,199,,,,,,,,,,,,,
Wayne,Wayne42,State House,17,Richard Thompson,DEM,174,,,,,,,,,,,,,
Wayne,Wayne45,State House,17,Richard Thompson,DEM,228,,,,,,,,,,,,,
Wayne,Wayne48,State House,17,Richard Thompson,DEM,422,,,,,,,,,,,,,
Wayne,Wayne49,State House,17,Richard Thompson,DEM,509,,,,,,,,,,,,,
Wayne,Wayne50,State House,17,Richard Thompson,DEM,363,,,,,,,,,,,,,
Wayne,Wayne51,State House,17,Richard Thompson,DEM,354,,,,,,,,,,,,,
Wayne,Wayne52,State House,17,Richard Thompson,DEM,168,,,,,,,,,,,,,
Wayne,Wayne53,State House,17,Richard Thompson,DEM,353,,,,,,,,,,,,,
Wayne,Wayne54,State House,17,Richard Thompson,DEM,289,,,,,,,,,,,,,
Wayne,Wayne57,State House,17,Richard Thompson,DEM,274,,,,,,,,,,,,,
Wayne,Wayne62,State House,17,Richard Thompson,DEM,397,,,,,,,,,,,,,
Wayne,,State House,17,Richard Thompson,DEM,8108,,,,,,,,,,,,,
Wayne,Wayne34,State House,20,Steven Kominar,DEM,244,,,,,,,,,,,,,
Wayne,Wayne37,State House,20,Steven Kominar,DEM,251,,,,,,,,,,,,,
Wayne,,State House,20,Steven Kominar,DEM,495,,,,,,,,,,,,,
Wayne,Wayne56,State House,16,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,State House,16,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,State House,16,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,State House,16,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,State House,16,Write-ins,,0,,,,,,,,,,,,,
Wayne,,State House,16,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne01,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne03,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne05,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne06,State House,17,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne11,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne12,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne13,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne14,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne16,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne17,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne18,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne19,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne20,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne21,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne22,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne30,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne31,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne36,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne41,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne42,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne45,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne48,State House,17,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne49,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne50,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne51,State House,17,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne52,State House,17,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne53,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne54,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne57,State House,17,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne62,State House,17,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne34,State House,20,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne37,State House,20,Write-ins,,0,,,,,,,,,,,,,
Wayne,,State House,17,Write-ins,,9,,,,,,,,,,,,,
Wayne,Wayne01,President,,Barack Obama,DEM,225,,,,,,,,,,,,,
Wayne,Wayne03,President,,Barack Obama,DEM,137,,,,,,,,,,,,,
Wayne,Wayne05,President,,Barack Obama,DEM,208,,,,,,,,,,,,,
Wayne,Wayne06,President,,Barack Obama,DEM,93,,,,,,,,,,,,,
Wayne,Wayne11,President,,Barack Obama,DEM,119,,,,,,,,,,,,,
Wayne,Wayne12,President,,Barack Obama,DEM,118,,,,,,,,,,,,,
Wayne,Wayne13,President,,Barack Obama,DEM,201,,,,,,,,,,,,,
Wayne,Wayne14,President,,Barack Obama,DEM,247,,,,,,,,,,,,,
Wayne,Wayne16,President,,Barack Obama,DEM,99,,,,,,,,,,,,,
Wayne,Wayne17,President,,Barack Obama,DEM,139,,,,,,,,,,,,,
Wayne,Wayne18,President,,Barack Obama,DEM,151,,,,,,,,,,,,,
Wayne,Wayne19,President,,Barack Obama,DEM,208,,,,,,,,,,,,,
Wayne,Wayne20,President,,Barack Obama,DEM,182,,,,,,,,,,,,,
Wayne,Wayne21,President,,Barack Obama,DEM,102,,,,,,,,,,,,,
Wayne,Wayne22,President,,Barack Obama,DEM,127,,,,,,,,,,,,,
Wayne,Wayne30,President,,Barack Obama,DEM,134,,,,,,,,,,,,,
Wayne,Wayne31,President,,Barack Obama,DEM,113,,,,,,,,,,,,,
Wayne,Wayne34,President,,Barack Obama,DEM,154,,,,,,,,,,,,,
Wayne,Wayne36,President,,Barack Obama,DEM,168,,,,,,,,,,,,,
Wayne,Wayne37,President,,Barack Obama,DEM,139,,,,,,,,,,,,,
Wayne,Wayne41,President,,Barack Obama,DEM,152,,,,,,,,,,,,,
Wayne,Wayne42,President,,Barack Obama,DEM,140,,,,,,,,,,,,,
Wayne,Wayne45,President,,Barack Obama,DEM,176,,,,,,,,,,,,,
Wayne,Wayne48,President,,Barack Obama,DEM,203,,,,,,,,,,,,,
Wayne,Wayne49,President,,Barack Obama,DEM,258,,,,,,,,,,,,,
Wayne,Wayne50,President,,Barack Obama,DEM,205,,,,,,,,,,,,,
Wayne,Wayne51,President,,Barack Obama,DEM,212,,,,,,,,,,,,,
Wayne,Wayne52,President,,Barack Obama,DEM,117,,,,,,,,,,,,,
Wayne,Wayne53,President,,Barack Obama,DEM,172,,,,,,,,,,,,,
Wayne,Wayne54,President,,Barack Obama,DEM,179,,,,,,,,,,,,,
Wayne,Wayne56,President,,Barack Obama,DEM,258,,,,,,,,,,,,,
Wayne,Wayne57,President,,Barack Obama,DEM,158,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,President,,Barack Obama,DEM,168,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,President,,Barack Obama,DEM,179,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,President,,Barack Obama,DEM,144,,,,,,,,,,,,,
Wayne,Wayne62,President,,Barack Obama,DEM,225,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,President,,Barack Obama,DEM,127,,,,,,,,,,,,,
Wayne,,President,,Barack Obama,DEM,6137,,,,,,,,,,,,,
Wayne,Wayne01,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne03,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne05,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne06,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne11,President,,Chuck Baldwin,CON,3,,,,,,,,,,,,,
Wayne,Wayne12,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne13,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne14,President,,Chuck Baldwin,CON,3,,,,,,,,,,,,,
Wayne,Wayne16,President,,Chuck Baldwin,CON,6,,,,,,,,,,,,,
Wayne,Wayne17,President,,Chuck Baldwin,CON,7,,,,,,,,,,,,,
Wayne,Wayne18,President,,Chuck Baldwin,CON,4,,,,,,,,,,,,,
Wayne,Wayne19,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne20,President,,Chuck Baldwin,CON,7,,,,,,,,,,,,,
Wayne,Wayne21,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne22,President,,Chuck Baldwin,CON,3,,,,,,,,,,,,,
Wayne,Wayne30,President,,Chuck Baldwin,CON,0,,,,,,,,,,,,,
Wayne,Wayne31,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne34,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne36,President,,Chuck Baldwin,CON,7,,,,,,,,,,,,,
Wayne,Wayne37,President,,Chuck Baldwin,CON,0,,,,,,,,,,,,,
Wayne,Wayne41,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne42,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne45,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne48,President,,Chuck Baldwin,CON,4,,,,,,,,,,,,,
Wayne,Wayne49,President,,Chuck Baldwin,CON,5,,,,,,,,,,,,,
Wayne,Wayne50,President,,Chuck Baldwin,CON,5,,,,,,,,,,,,,
Wayne,Wayne51,President,,Chuck Baldwin,CON,6,,,,,,,,,,,,,
Wayne,Wayne52,President,,Chuck Baldwin,CON,4,,,,,,,,,,,,,
Wayne,Wayne53,President,,Chuck Baldwin,CON,9,,,,,,,,,,,,,
Wayne,Wayne54,President,,Chuck Baldwin,CON,5,,,,,,,,,,,,,
Wayne,Wayne56,President,,Chuck Baldwin,CON,2,,,,,,,,,,,,,
Wayne,Wayne57,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,President,,Chuck Baldwin,CON,0,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,President,,Chuck Baldwin,CON,1,,,,,,,,,,,,,
Wayne,Wayne62,President,,Chuck Baldwin,CON,5,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,President,,Chuck Baldwin,CON,3,,,,,,,,,,,,,
Wayne,,President,City,Chuck Baldwin,CON,110,,,,,,,,,,,,,Moore [R]
Wayne,Wayne01,President,,Cynthia McKinney,MTN,4,,,,,,,,,,,,,
Wayne,Wayne03,President,,Cynthia McKinney,MTN,2,,,,,,,,,,,,,
Wayne,Wayne05,President,,Cynthia McKinney,MTN,3,,,,,,,,,,,,,
Wayne,Wayne06,President,,Cynthia McKinney,MTN,0,,,,,,,,,,,,,
Wayne,Wayne11,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne12,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne13,President,,Cynthia McKinney,MTN,2,,,,,,,,,,,,,
Wayne,Wayne14,President,,Cynthia McKinney,MTN,4,,,,,,,,,,,,,
Wayne,Wayne16,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne17,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne18,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne19,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne20,President,,Cynthia McKinney,MTN,3,,,,,,,,,,,,,
Wayne,Wayne21,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne22,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne30,President,,Cynthia McKinney,MTN,0,,,,,,,,,,,,,
Wayne,Wayne31,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne34,President,,Cynthia McKinney,MTN,2,,,,,,,,,,,,,
Wayne,Wayne36,President,,Cynthia McKinney,MTN,3,,,,,,,,,,,,,
Wayne,Wayne37,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne41,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne42,President,,Cynthia McKinney,MTN,2,,,,,,,,,,,,,
Wayne,Wayne45,President,,Cynthia McKinney,MTN,1,,,,,,,,,,,,,
Wayne,Wayne48,President,,Cynthia McKinney,MTN,2,,,,,,,,,,,,,
Wayne,Wayne49,President,,Cynthia McKinney,MTN,2,,,,,,,,,,,,,
Wayne,Wayne50,President,,Cynthia McKinney,MTN,0,,,,,,,,,,,,,
Wayne,Wayne51,President,,Cynthia McKinney,MTN,6,,,,,,,,,,,,,
